# Image Name                           Asset Name         Game    Expansion                   AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description               Asset #   Printflag
bw-bonds-of-the-wild-front.png,        advanced-quests,   d2e,    bonds of the wild,          act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bonds of the wild,        xxxxx,    8
mr-beneath-the-manor-front.png,        advanced-quests,   d2e,    manor of ravens,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   beneath the manor,        xxxxx,    8
mr-beneath-the-manor-back.png,         advanced-quests,   d2e,    manor of ravens,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   beneath the manor,        xxxxx,    8
mr-where-the-heart-is-front.png,       advanced-quests,   d2e,    manor of ravens,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   where the heart is,       xxxxx,    8
mr-where-the-heart-is-back.png,        advanced-quests,   d2e,    manor of ravens,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   where the heart is,       xxxxx,    8
mr-wrong-man-for-the-job-front.png,    advanced-quests,   d2e,    manor of ravens,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wrong man for the job,    xxxxx,    8
mr-wrong-man-for-the-job-back.png,     advanced-quests,   d2e,    manor of ravens,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wrong man for the job,    xxxxx,    8
oo-prison-of-ice-and-lies-front.png,   advanced-quests,   d2e,    oath of the outcast,        act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prison of ice and lies,   xxxxx,    8
oo-prison-of-ice-and-lies-back.png,    advanced-quests,   d2e,    oath of the outcast,        act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prison of ice and lies,   xxxxx,    8
se-host-of-everdark-front.png,         advanced-quests,   d2e,    shards of everdark,         act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   host of everdark,         xxxxx,    8
se-host-of-everdark-back.png,          advanced-quests,   d2e,    shards of everdark,         act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   host of everdark,         xxxxx,    8
sotp-the-sunken-temple-front.png,      advanced-quests,   sotp,   sands of the past,          act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the sunken temple,        xxxxx,    8
sotp-the-sunken-temple-back.png,       advanced-quests,   sotp,   sands of the past,          act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the sunken temple,        xxxxx,    8
ss-bloodspire-of-devis-front.png,      advanced-quests,   d2e,    stewards of the secret,     act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bloodspire of devis,      xxxxx,    8
ss-bloodspire-of-devis-back.png,       advanced-quests,   d2e,    stewards of the secret,     act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bloodspire of devis,      xxxxx,    8
tc-treaty-of-champions-front.png,      advanced-quests,   d2e,    treaty of champions,        act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   treaty of champions,      xxxxx,    8
tc-treaty-of-champions-back.png,       advanced-quests,   d2e,    treaty of champions,        act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   treaty of champions,      xxxxx,    8
tf-source-of-sickness-front.png,       advanced-quests,   d2e,    the trollfens,              act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   source of sickness,       xxxxx,    8
tf-source-of-sickness-back.png,        advanced-quests,   d2e,    the trollfens,              act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   source of sickness,       xxxxx,    8
tf-spreading-affliction-front.png,     advanced-quests,   d2e,    the trollfens,              act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spreading affliction,     xxxxx,    8
tf-spreading-affliction-back.png,      advanced-quests,   d2e,    the trollfens,              act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spreading affliction,     xxxxx,    8
vd-visions-of-dawn-front.png,          advanced-quests,   d2e,    visions of dawn,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   visions of dawn,          xxxxx,    8
vd-visions-of-dawn-back.png,           advanced-quests,   d2e,    visions of dawn,            act2,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   visions of dawn,          xxxxx,    8
