# Image Name                             Asset Name    Game    Expansion             AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                 Asset #   Printflag
book-heirs-of-blood.png,                 expansions,   d2e,    base game,            book,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   heirs of blood,             xxxxx,    8
exp-shadow-of-nerekhall.png,             expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadow of nerekhall,        xxxxx,    8
exp-the-chains-that-rust.png,            expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the chains that rust,       xxxxx,    8
exp-the-trollfens.png,                   expansions,   d2e,    base game,            exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the trollfens,              xxxxx,    8
hm-bonds-of-the-wild.png,                expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bonds of the wild,          xxxxx,    8
hm-crown-of-destiny.png,                 expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crown of destiny,           xxxxx,    8
hm-crusade-of-the-forgotten.png,         expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crusade of the forgotten,   xxxxx,    8
hm-guardians-of-deephall.png,            expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   guardians of deephall,      xxxxx,    8
hm-oath-of-the-outcast.png,              expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   oath of the outcast,        xxxxx,    8
hm-shards-of-everdark.png,               expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shards of everdark,         xxxxx,    8
hm-stewards-of-the-secret.png,           expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stewards of the secret,     xxxxx,    8
hm-treaty-of-champions.png,              expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   treaty of champions,        xxxxx,    8
hm-visions-of-dawn.png,                  expansions,   d2e,    base game,            hm,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   visions of dawn,            xxxxx,    8
lt-ardus-ixerebus.png,                   expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ardus ix'erebus,            xxxxx,    8
lt-ariad.png,                            expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ariad,                      xxxxx,    8
lt-baron-zachareth.png,                  expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth,            xxxxx,    8
lt-belthir.png,                          expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir,                    xxxxx,    8
lt-bolgoreth.png,                        expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bol'goreth,                 xxxxx,    8
lt-gargan-mirklace.png,                  expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   gargan mirklace,            xxxxx,    8
lt-gargan-mirklace.png,                  expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mirklace,                   xxxxx,    8
lt-kyndrithul.png,                       expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   kyndrithul,                 xxxxx,    8
lt-lady-eliza-farrow.png,                expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lady eliza farrow,          xxxxx,    8
lt-lord-merick-farrow.png,               expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord merick farrow,         xxxxx,    8
lt-queen-ariad.png,                      expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   queen ariad,                xxxxx,    8
lt-raythen.png,                          expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   raythen,                    xxxxx,    8
lt-rylan-olliven.png,                    expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rylan olliven,              xxxxx,    8
lt-serena.png,                           expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   serena,                     xxxxx,    8
lt-sir-alric-farrow.png,                 expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sir alric farrow,           xxxxx,    8
lt-skarn.png,                            expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   skarn,                      xxxxx,    8
lt-splig.png,                            expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   splig,                      xxxxx,    8
lt-tristayne-olliven.png,                expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tristayne olliven,          xxxxx,    8
lt-valyndra.png,                         expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valyndra,                   xxxxx,    8
lt-verminous.png,                        expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   verminous,                  xxxxx,    8
lt-zarihell.png,                         expansions,   d2e,    base game,            lt,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   zarihell,                   xxxxx,    8
exp-maze-of-the-drakon.png,              expansions,   motd,   maze of the drakon,   exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   maze of the drakon,         xxxxx,    8
exp-sands-of-the-past.png,               expansions,   sotp,   sands of the past,    exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sands of the past,          xxxxx,    8
exp-user-community-missing-heroes.png,   expansions,   uc,     user community,       exp,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   user community,             xxxxx,    8
