# Image Name                       Asset Name   Game    Expansion                   AST1    AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                 Asset #   Printflag
bw-one-mans-trash.png,             rumors,      d2e,    bonds of the wild,          act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   one man's trash,            xxxxx,    8
mr-my-house-my-rules.png,          rumors,      d2e,    manor of ravens,            act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   my house$ my rules,         xxxxx,    8
mr-rumors-back.png,                rumors,      d2e,    manor of ravens,            act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
mr-spread-your-wings.png,          rumors,      d2e,    manor of ravens,            act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spread your wings,          xxxxx,    8
oo-oath-of-the-outcast.png,        rumors,      d2e,    oath of the outcast,        act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   oath of the outcast,        xxxxx,    8
oo-rumors-back.png,                rumors,      d2e,    oath of the outcast,        act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
sotp-halls-of-toil.png,            rumors,      sotp,   sands of the past,          act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   halls of toil,              xxxxx,    8
sotp-rumors-back.png,              rumors,      sotp,   sands of the past,          act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
sotp-the-unearthed-tomb.png,       rumors,      sotp,   sands of the past,          act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the unearthed tomb,         xxxxx,    8
sotp-valley-of-the-dead.png,       rumors,      sotp,   sands of the past,          act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valley of the dead,         xxxxx,    8
se-rumors-back.png,                rumors,      d2e,    shards of everdark,         act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
se-shards-of-everdark.png,         rumors,      d2e,    shards of everdark,         act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shards of everdark,         xxxxx,    8
ss-rumors-back.png,                rumors,      d2e,    stewards of the secret,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
ss-stewards-of-the-secret.png,     rumors,      d2e,    stewards of the secret,     act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stewards of the secret,     xxxxx,    8
tf-atrocities.png,                 rumors,      d2e,    the trollfens,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   atrocities,                 xxxxx,    8
tf-famine-and-strife.png,          rumors,      d2e,    the trollfens,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   famine and strife,          xxxxx,    8
tf-food-for-worms.png,             rumors,      d2e,    the trollfens,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   food for worms,             xxxxx,    8
tf-ghost-town.png,                 rumors,      d2e,    the trollfens,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ghost town,                 xxxxx,    8
tf-rumors-back.png,                rumors,      d2e,    the trollfens,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
tf-scarce-goods.png,               rumors,      d2e,    the trollfens,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scarce goods,               xxxxx,    8
tf-three-heads-one-mind.png,       rumors,      d2e,    the trollfens,              act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   three heads$ one mind,      xxxxx,    8
tc-rumors-back.png,                rumors,      d2e,    treaty of champions,        act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
tc-sindaes-secret.png,             rumors,      d2e,    treaty of champions,        act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sindae's secret,            xxxxx,    8
vd-rumors-back.png,                rumors,      d2e,    visions of dawn,            act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rumors-back,                xxxxx,    0
vd-trucebreaker.png,               rumors,      d2e,    visions of dawn,            act1,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trucebreaker,               xxxxx,    8
