# Image Name                           Asset Name   Game   Expansion            AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                   Asset #   Printflag
sotp-acolyte-of-saradyn-front.png,     agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   acolyte of saradyn - e1,      xxxxx,    8
sotp-valley-of-the-dead-front.png,     agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valley of the dead - e1,      xxxxx,    8
sotp-valley-of-the-dead-back.png,      agendas,     sotp,  sands of the past,   e1,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valley of the dead - e1,      xxxxx,    8
sotp-archive-of-arrizon-front.png,     agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   archive of arrizon - e2,      xxxxx,    8
sotp-archive-of-arrizon-back.png,      agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   archive of arrizon - e2,      xxxxx,    8
sotp-caladens-crossing-front.png,      agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   caladen's crossing - e2,      xxxxx,    8
sotp-caladens-crossing-back.png,       agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   caladen's crossing - e2,      xxxxx,    8
sotp-edge-of-dawn-front.png,           agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   edge of dawn - e2,            xxxxx,    8
sotp-edge-of-dawn-back.png,            agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   edge of dawn - e2,            xxxxx,    8
sotp-lord-of-flame-front.png,          agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord of flame - e2,           xxxxx,    8
sotp-lord-of-flame-back.png,           agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord of flame - e2,           xxxxx,    8
sotp-piercing-darkness-front.png,      agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   piercing darkness - e2,       xxxxx,    8
sotp-piercing-darkness-back.png,       agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   piercing darkness - e2,       xxxxx,    8
sotp-prison-of-khinn-front.png,        agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prison of khinn - e2,         xxxxx,    8
sotp-prison-of-khinn-back.png,         agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   prison of khinn - e2,         xxxxx,    8
sotp-rellegars-rest-front.png,         agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rellegar's rest - e2,         xxxxx,    8
sotp-rellegars-rest-back.png,          agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rellegar's rest - e2,         xxxxx,    8
sotp-rise-of-urthko-front.png,         agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rise of urthko - e2,          xxxxx,    8
sotp-rise-of-urthko-back.png,          agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rise of urthko - e2,          xxxxx,    8
sotp-shadowfall-mountain-front.png,    agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadowfall mountain - e2,     xxxxx,    8
sotp-shadowfall-mountain-back.png,     agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadowfall mountain - e2,     xxxxx,    8
sotp-the-baron-returns-front.png,      agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the baron returns - e2,       xxxxx,    8
sotp-the-baron-returns-back.png,       agendas,     sotp,  sands of the past,   e2,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the baron returns - e2,       xxxxx,    8
sotp-blood-and-betrayal-front.png,     agendas,     sotp,  sands of the past,   e2a,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e2a,     xxxxx,    8
sotp-blood-and-betrayal-back.png,      agendas,     sotp,  sands of the past,   e2a,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e2a,     xxxxx,    8
sotp-blood-and-betrayal-front.png,     agendas,     sotp,  sands of the past,   e2b,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e2b,     xxxxx,    8
sotp-blood-and-betrayal-back.png,      agendas,     sotp,  sands of the past,   e2b,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e2b,     xxxxx,    8
sotp-blood-and-betrayal-front.png,     agendas,     sotp,  sands of the past,   e3,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e3,      xxxxx,    8
sotp-blood-and-betrayal-back.png,      agendas,     sotp,  sands of the past,   e3,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood and betrayal - e3,      xxxxx,    8
