# Image Name                       Asset Name      Game    Expansion              AST1        AST2               AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description             Asset #   Printflag
bg-armor-of-faith.png,             class-skills,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   armor of faith,         xxxxx,    8
bg-defend.png,                     class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   defend,                 xxxxx,    8
bg-defense-training.png,           class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   defense training,       xxxxx,    8
bg-guard-errata.png,               class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   guard,                  xxxxx,    8
bg-guard.png,                      class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   guard,                  xxxxx,    8
bg-inspiration.png,                class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   inspiration,            xxxxx,    8
bg-knight-back.png,                class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   knight-back,            xxxxx,    8
bg-oath-of-honor.png,              class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   oath of honor,          xxxxx,    8
bg-shield-slam.png,                class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shield slam,            xxxxx,    8
bg-stalwart.png,                   class-skills,   d2e,    base game,             warriors,   knight,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stalwart,               xxxxx,    8
lr-apothecary-back.png,            class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   apothecary-back,        xxxxx,    8
lr-bottled-courage.png,            class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bottled courage,        xxxxx,    8
lr-brew-elixir.png,                class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brew elixir,            xxxxx,    8
lr-concoction.png,                 class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   concoction,             xxxxx,    8
lr-herbal-lore.png,                class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   herbal lore,            xxxxx,    8
lr-hidden-stash.png,               class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hidden stash,           xxxxx,    8
lr-inky-substance.png,             class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   inky substance,         xxxxx,    8
lr-potent-remedies.png,            class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   potent remedies,        xxxxx,    8
lr-potent-remedies-errata.png,     class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   potent remedies,        xxxxx,    8
lr-protective-tonic.png,           class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   protective tonic,       xxxxx,    8
lr-secret-formula.png,             class-skills,   d2e,    labyrinth of ruin,     healers,    apothecary,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   secret formula,         xxxxx,    8
lr-accursed-arms.png,              class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   accursed arms,          xxxxx,    8
lr-affliction.png,                 class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   affliction,             xxxxx,    8
lr-crippling-curse.png,            class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crippling curse,        xxxxx,    8
lr-enfeebling-hex.png,             class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   enfeebling hex,         xxxxx,    8
lr-fel-command.png,                class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fel command,            xxxxx,    8
lr-hexer-back.png,                 class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hexer-back,             xxxxx,    8
lr-internal-rot.png,               class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   internal rot,           xxxxx,    8
lr-plague-cloud.png,               class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plague cloud,           xxxxx,    8
lr-plague-spasm.png,               class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plague spasm,           xxxxx,    8
lr-viral-hex.png,                  class-skills,   d2e,    labyrinth of ruin,     mages,      hexer,             xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   viral hex,              xxxxx,    8
lr-delver.png,                     class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   delver,                 xxxxx,    8
lr-dungeoneer.png,                 class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dungeoneer,             xxxxx,    8
lr-finders-keepers.png,            class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   finder's keeper's,      xxxxx,    8
lr-gold-rush.png,                  class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   gold rush,              xxxxx,    8
lr-guard-the-spoils.png,           class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   guard the spoils,       xxxxx,    8
lr-lure-of-fortune.png,            class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lure of fortune,        xxxxx,    8
lr-sleight-of-hand.png,            class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sleight of hand,        xxxxx,    8
lr-survey.png,                     class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   survey,                 xxxxx,    8
lr-trail-of-riches.png,            class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trail of riches,        xxxxx,    8
lr-treasure-hunter-back.png,       class-skills,   d2e,    labyrinth of ruin,     scouts,     treasure-hunter,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   treasure-hunter-back,   xxxxx,    8
lr-beastmaster-back.png,           class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   beastmaster-back,       xxxxx,    8
lr-bestial-rage.png,               class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bestial rage,           xxxxx,    8
lr-bound-by-the-hunt.png,          class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bound by the hunt,      xxxxx,    8
lr-changing-skins.png,             class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   changing skins,         xxxxx,    8
lr-feral-frenzy.png,               class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   feral frenzy,           xxxxx,    8
lr-predator.png,                   class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   predator,               xxxxx,    8
lr-savagery.png,                   class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   savagery,               xxxxx,    8
lr-shadow-hunter.png,              class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadow hunter,          xxxxx,    8
lr-stalker.png,                    class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stalker,                xxxxx,    8
lr-survivalist.png,                class-skills,   d2e,    labyrinth of ruin,     warriors,   beastmaster,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   survivalist,            xxxxx,    8
lw-cataclysm.png,                  class-skills,   d2e,    lair of the wyrm,      mages,      geomancer,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cataclysm,              xxxxx,    8
lw-earthen-anguish.png,            class-skills,   d2e,    lair of the wyrm,      mages,      geomancer,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   earthen anguish,        xxxxx,    8
lw-geomancer-back.png,             class-skills,   d2e,    lair of the wyrm,      mages,      geomancer,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   geomancer-back,         xxxxx,    8
