# Image Name                      Asset Name           Game   Expansion               AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                 Asset #   Printflag
bg-travel-event-1-of-10.png,      travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bg travel event 1 of 10,    xxxxx,    8
bg-travel-event-10-of-10.png,     travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tentacles,                  xxxxx,    8
bg-travel-event-decks-back.png,   travel-event-decks,  d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   travel-event-decks-back,    xxxxx,    8
lr-travel-event-1-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 1 of 8,     xxxxx,    8
lr-travel-event-1-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   invigorated,                xxxxx,    8
lr-travel-event-1-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wandering mystic,           xxxxx,    8
lr-travel-event-1-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   heavy fog,                  xxxxx,    8
lr-travel-event-2-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 2 of 8,     xxxxx,    8
lr-travel-event-2-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   discarded scroll,           xxxxx,    8
lr-travel-event-2-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   traveling healer,           xxxxx,    8
lr-travel-event-2-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark forest,                xxxxx,    8
lr-travel-event-3-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 3 of 8,     xxxxx,    8
lr-travel-event-3-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sense an ambush,            xxxxx,    8
lr-travel-event-3-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lost merchant,              xxxxx,    8
lr-travel-event-3-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mountain path,              xxxxx,    8
lr-travel-event-4-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 4 of 8,     xxxxx,    8
lr-travel-event-4-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   painfully exhausting,       xxxxx,    8
lr-travel-event-4-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   gold key,                   xxxxx,    8
lr-travel-event-4-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lost messenger,             xxxxx,    8
lr-travel-event-5-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 5 of 8,     xxxxx,    8
lr-travel-event-5-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wild beast,                 xxxxx,    8
lr-travel-event-5-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chest sealed with a rune,   xxxxx,    8
lr-travel-event-5-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   whispering incoherently,    xxxxx,    8
lr-travel-event-6-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 6 of 8,     xxxxx,    8
lr-travel-event-6-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cloaked traveler,           xxxxx,    8
lr-travel-event-6-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mountain trail,             xxxxx,    8
lr-travel-event-6-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark fog,                   xxxxx,    8
lr-travel-event-7-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 7 of 8,     xxxxx,    8
lr-travel-event-7-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tall tree,                  xxxxx,    8
lr-travel-event-7-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   catching a spy,             xxxxx,    8
lr-travel-event-7-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   water appears dark,         xxxxx,    8
lr-travel-event-8-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lr travel event 8 of 8,     xxxxx,    8
lr-travel-event-8-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   barren field,               xxxxx,    8
lr-travel-event-8-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   evil minions,               xxxxx,    8
lr-travel-event-8-of-8.png,       travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   haggling,                   xxxxx,    8
lr-travel-event-decks-back.png,   travel-event-decks,  d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   travel-event-decks-back,    xxxxx,    0
lw-travel-event-1-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lw travel event 1 of 3,     xxxxx,    8
lw-travel-event-1-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wrong turn,                 xxxxx,    8
lw-travel-event-1-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ferryman,                   xxxxx,    8
lw-travel-event-1-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   winged minions,             xxxxx,    8
lw-travel-event-2-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lw travel event 2 of 3,     xxxxx,    8
lw-travel-event-2-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   herald,                     xxxxx,    8
lw-travel-event-3-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lw travel event 3 of 3,     xxxxx,    8
lw-travel-event-3-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   enemy's scouts,             xxxxx,    8
lw-travel-event-3-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   old crone,                  xxxxx,    8
lw-travel-event-3-of-3.png,       travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jester,                     xxxxx,    8
lw-travel-event-decks-back.png,   travel-event-decks,  d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   travel-event-decks-back,    xxxxx,    0
mb-travel-event-1-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mb travel event 1 of 5,     xxxxx,    8
mb-travel-event-1-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   inviting lagoon,            xxxxx,    8
mb-travel-event-1-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wild witch,                 xxxxx,    8
mb-travel-event-1-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   strange locket,             xxxxx,    8
mb-travel-event-2-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mb travel event 2 of 5,     xxxxx,    8
mb-travel-event-2-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   large tree,                 xxxxx,    8
mb-travel-event-2-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unnatural figures,          xxxxx,    8
mb-travel-event-2-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   recent rain,                xxxxx,    8
mb-travel-event-3-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mb travel event 3 of 5,     xxxxx,    8
mb-travel-event-3-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   festering leeches,          xxxxx,    8
mb-travel-event-3-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   burning flesh,              xxxxx,    8
mb-travel-event-3-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   turn back,                  xxxxx,    8
mb-travel-event-4-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mb travel event 4 of 5,     xxxxx,    8
mb-travel-event-4-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ancient graveyard,          xxxxx,    8
mb-travel-event-5-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mb travel event 5 of 5,     xxxxx,    8
mb-travel-event-5-of-5.png,       travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   remains of a wagon,         xxxxx,    8
mb-travel-event-decks-back.png,   travel-event-decks,  d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   travel-event-decks-back,    xxxxx,    0
cr-travel-event-1-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cr travel event 1 of 2,     xxxxx,    8
cr-travel-event-1-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   enemy soldiers,             xxxxx,    8
cr-travel-event-1-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   silent vultures,            xxxxx,    8
cr-travel-event-1-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   young couple,               xxxxx,    8
cr-travel-event-2-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cr travel event 2 of 2,     xxxxx,    8
cr-travel-event-2-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   globules of blood,          xxxxx,    8
cr-travel-event-2-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   enormous coffin,            xxxxx,    8
cr-travel-event-2-of-2.png,       travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   twelve roads,               xxxxx,    8
cr-travel-event-decks-back.png,   travel-event-decks,  d2e,   the chains that rust,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   travel-event-decks-back,    xxxxx,    0
tf-travel-event-1-of-3.png,       travel-event-decks,  d2e,   the trollfens,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tf travel event 1 of 3,     xxxxx,    8
tf-travel-event-1-of-3.png,       travel-event-decks,  d2e,   the trollfens,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shady traveler,             xxxxx,    8
tf-travel-event-1-of-3.png,       travel-event-decks,  d2e,   the trollfens,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin scout,               xxxxx,    8
tf-travel-event-1-of-3.png,       travel-event-decks,  d2e,   the trollfens,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vicious thunderstorm,       xxxxx,    8
