# Image Name                        Asset Name   Game   Expansion               AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description   Asset #   Printflag
bg-01a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   01a,          xxxxx,    1
bg-13a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   13a,          xxxxx,    1
bg-13b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   13b,          xxxxx,    1
bg-14a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   14a,          xxxxx,    1
bg-14b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   14b,          xxxxx,    1
bg-15a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   15a,          xxxxx,    1
bg-15b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   15b,          xxxxx,    1
bg-16a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   16a,          xxxxx,    1
bg-16b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   16b,          xxxxx,    1
bg-17a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   17a,          xxxxx,    1
bg-17b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   17b,          xxxxx,    1
bg-18a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   18a,          xxxxx,    1
bg-18b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   18b,          xxxxx,    1
bg-19a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   19a,          xxxxx,    1
bg-19b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   19b,          xxxxx,    1
bg-20a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   20a,          xxxxx,    1
bg-20b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   20b,          xxxxx,    1
bg-21a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   21a,          xxxxx,    1
bg-21b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   21b,          xxxxx,    1
bg-22a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   22a,          xxxxx,    1
bg-22b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   22b,          xxxxx,    1
bg-23a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   23a,          xxxxx,    1
bg-23b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   23b,          xxxxx,    1
bg-24a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   24a,          xxxxx,    1
bg-24b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   24b,          xxxxx,    1
bg-25a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   25a,          xxxxx,    1
bg-25b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   25b,          xxxxx,    1
bg-26a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   26a,          xxxxx,    1
bg-26b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   26b,          xxxxx,    1
bg-27a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   27a,          xxxxx,    1
bg-27b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   27b,          xxxxx,    1
bg-28a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   28a,          xxxxx,    1
bg-28b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   28b,          xxxxx,    1
bg-29a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   29a,          xxxxx,    1
bg-29b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   29b,          xxxxx,    1
bg-30a.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   30a,          xxxxx,    1
bg-30b.png,                         map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   30b,          xxxxx,    1
bg-end-cap-indoor.png,              map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   end cap,      xxxxx,    1
bg-end-cap-outdoor.png,             map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   end cap,      xxxxx,    1
bg-entrance-indoor.png,             map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   entrance,     xxxxx,    1
bg-entrance-outdoor.png,            map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   entrance,     xxxxx,    1
bg-exit-indoor.png,                 map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   exit,         xxxxx,    1
bg-exit-outdoor.png,                map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   exit,         xxxxx,    1
bg-extension-indoor.png,            map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   extension,    xxxxx,    1
bg-extension-outdoor.png,           map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   extension,    xxxxx,    1
bg-transition-outdoor-indoor.png,   map-tiles,   d2e,   base game,              xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   transition,   xxxxx,    1
lr-36a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   36a,          xxxxx,    1
lr-36b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   36b,          xxxxx,    1
lr-37a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   37a,          xxxxx,    1
lr-37b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   37b,          xxxxx,    1
lr-38a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   38a,          xxxxx,    1
lr-38b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   38b,          xxxxx,    1
lr-39a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   39a,          xxxxx,    1
lr-39b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   39b,          xxxxx,    1
lr-40a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   40a,          xxxxx,    1
lr-40b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   40b,          xxxxx,    1
lr-41a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   41a,          xxxxx,    1
lr-41b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   41b,          xxxxx,    1
lr-42a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   42a,          xxxxx,    1
lr-42b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   42b,          xxxxx,    1
lr-43a.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   43a,          xxxxx,    1
lr-43b.png,                         map-tiles,   d2e,   labyrinth of ruin,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   43b,          xxxxx,    1
lw-31a.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   31a,          xxxxx,    1
lw-31b.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   31b,          xxxxx,    1
lw-32a.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   32a,          xxxxx,    1
lw-32b.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   32b,          xxxxx,    1
lw-33a.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   33a,          xxxxx,    1
lw-33b.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   33b,          xxxxx,    1
lw-34a.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   34a,          xxxxx,    1
lw-34b.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   34b,          xxxxx,    1
lw-35a.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   35a,          xxxxx,    1
lw-35b.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   35b,          xxxxx,    1
lw-s1a.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   s1a,          xxxxx,    1
lw-s1b.png,                         map-tiles,   d2e,   lair of the wyrm,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   s1b,          xxxxx,    1
mr-70a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   70a,          xxxxx,    1
mr-70b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   70b,          xxxxx,    1
mr-71a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   71a,          xxxxx,    1
mr-71b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   71b,          xxxxx,    1
mr-72a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   72a,          xxxxx,    1
mr-72b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   72b,          xxxxx,    1
mr-73a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   73a,          xxxxx,    1
mr-73b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   73b,          xxxxx,    1
mr-74a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   74a,          xxxxx,    1
mr-74b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   74b,          xxxxx,    1
mr-75a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   75a,          xxxxx,    1
mr-75b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   75b,          xxxxx,    1
mr-76a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   76a,          xxxxx,    1
mr-76b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   76b,          xxxxx,    1
mr-77a.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   77a,          xxxxx,    1
mr-77b.png,                         map-tiles,   d2e,   manor of ravens,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   77b,          xxxxx,    1
mb-78a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   78a,          xxxxx,    1
mb-78b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   78b,          xxxxx,    1
mb-79a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   79a,          xxxxx,    1
mb-79b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   79b,          xxxxx,    1
mb-80a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   80a,          xxxxx,    1
mb-80b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   80b,          xxxxx,    1
mb-81a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   81a,          xxxxx,    1
mb-81b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   81b,          xxxxx,    1
mb-82a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   82a,          xxxxx,    1
mb-82b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   82b,          xxxxx,    1
mb-83a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   83a,          xxxxx,    1
mb-83b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   83b,          xxxxx,    1
mb-84a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   84a,          xxxxx,    1
mb-84b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   84b,          xxxxx,    1
mb-85a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   85a,          xxxxx,    1
mb-85b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   85b,          xxxxx,    1
mb-86a.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   86a,          xxxxx,    1
mb-86b.png,                         map-tiles,   d2e,   mists of bilehall,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   86b,          xxxxx,    1
