# Image Name                       Asset Name    Game   Expansion              AST1                 AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                   Asset #   Printflag
bg-bolt-from-the-blue.png,         plot-decks,   d2e,   base game,             cursed-by-power,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bolt from the blue,           xxxxx,    8
bg-fangs-in-the-dark.png,          plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fangs in the dark,            xxxxx,    8
bg-nights-embrace.png,             plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   night's embrace,              xxxxx,    8
bg-nighttime-hunt.png,             plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nighttime hunt,               xxxxx,    8
bg-plot-decks-back.png,            plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
bg-scent-of-blood.png,             plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scent of blood,               xxxxx,    8
bg-summon-eliza.png,               plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - eliza,               xxxxx,    8
bg-the-ladys-care.png,             plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the lady's care,              xxxxx,    8
bg-the-power-of-blood.png,         plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the power of blood,           xxxxx,    8
bg-the-taste-of-suffering.png,     plot-decks,   d2e,   base game,             endless-thirst,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the taste of suffering,       xxxxx,    8
bg-dive-into-cover.png,            plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dive into cover,              xxxxx,    8
bg-emergency-rations.png,          plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   emergency rations,            xxxxx,    8
bg-feral-instincts.png,            plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   feral instincts,              xxxxx,    8
bg-goblin-ambush.png,              plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin ambush,                xxxxx,    8
bg-meat-shield.png,                plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   meat shield,                  xxxxx,    8
bg-overfed.png,                    plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overfed,                      xxxxx,    8
bg-plot-decks-back.png,            plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
bg-raided-armory.png,              plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   raided armory,                xxxxx,    8
bg-scavenge.png,                   plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scavenge,                     xxxxx,    8
bg-spirited-retreat.png,           plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spirited retreat,             xxxxx,    8
bg-summon-splig.png,               plot-decks,   d2e,   base game,             goblin-uprising,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - splig,               xxxxx,    8
bg-bribery.png,                    plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bribery,                      xxxxx,    8
bg-cut-a-deal.png,                 plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cut a deal,                   xxxxx,    8
bg-dual-training.png,              plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dual training,                xxxxx,    8
bg-end-it.png,                     plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   end it!,                      xxxxx,    8
bg-fight-with-honor.png,           plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fight with honor,             xxxxx,    8
bg-hazard-pay.png,                 plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hazard pay,                   xxxxx,    8
bg-make-our-own-luck.png,          plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   make our own luck,            xxxxx,    8
bg-plot-decks-back.png,            plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
bg-resourceful.png,                plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   resourceful,                  xxxxx,    8
bg-show-of-force.png,              plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   show of force,                xxxxx,    8
bg-summon-belthir.png,             plot-decks,   d2e,   base game,             hybrid-loyalty,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - belthir,             xxxxx,    8
bg-always-prepared.png,            plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   always prepared,              xxxxx,    8
bg-false-friends.png,              plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   false friends,                xxxxx,    8
bg-meticulous-planning.png,        plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   meticulous planning,          xxxxx,    8
bg-nefarious-power.png,            plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nefarious power,              xxxxx,    8
bg-plot-decks-back.png,            plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
bg-rush-of-power.png,              plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rush of power,                xxxxx,    8
bg-scrying-and-plotting.png,       plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scrying and plotting,         xxxxx,    8
bg-sole-purpose.png,               plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sole purpose,                 xxxxx,    8
bg-summon-zachareth.png,           plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - zachareth,           xxxxx,    8
bg-trouble-on-the-road.png,        plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trouble on the road,          xxxxx,    8
bg-two-pronged-gambit.png,         plot-decks,   d2e,   base game,             seeds-of-betrayal,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   two-pronged gambit,           xxxxx,    8
bg-armor-of-darkness.png,          plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   armor of darkness,            xxxxx,    8
bg-dark-champions.png,             plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark champions,               xxxxx,    8
bg-fight-in-formation.png,         plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fight in formation,           xxxxx,    8
bg-knight-training.png,            plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   knight training,              xxxxx,    8
bg-plot-decks-back.png,            plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
bg-refuse-to-die.png,              plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   refuse to die,                xxxxx,    8
bg-summon-alric.png,               plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - alric,               xxxxx,    8
bg-trial-of-knighthood.png,        plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trial of knighthood,          xxxxx,    8
bg-unkillable.png,                 plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unkillable,                   xxxxx,    8
bg-vengeful-resolve.png,           plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vengeful resolve,             xxxxx,    8
bg-veteran-council.png,            plot-decks,   d2e,   base game,             the-fallen-elite,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   veteran council,              xxxxx,    8
lr-darkness-falls.png,             plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   darkness falls,               xxxxx,    8
lr-enthrall.png,                   plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   enthrall,                     xxxxx,    8
lr-intricate-schemes.png,          plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   intricate schemes,            xxxxx,    8
lr-malediction.png,                plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   malediction,                  xxxxx,    8
lr-mirage.png,                     plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mirage,                       xxxxx,    8
lr-misdirection.png,               plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   misdirection,                 xxxxx,    8
lr-phantasm.png,                   plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   phantasm,                     xxxxx,    8
lr-plot-decks-back.png,            plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
lr-summon-ariad.png,               plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - ariad,               xxxxx,    8
lr-tainted-blood.png,              plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tainted blood,                xxxxx,    8
lr-the-ritual-continues.png,       plot-decks,   d2e,   labyrinth of ruin,     dark-illusions,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the ritual continues,         xxxxx,    8
lr-brethren.png,                   plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brethren,                     xxxxx,    8
lr-curative-spirit.png,            plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   curative spirit,              xxxxx,    8
lr-diplomatic.png,                 plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   diplomatic,                   xxxxx,    8
lr-oath-of-silence.png,            plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   oath of silence,              xxxxx,    8
lr-pacify.png,                     plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   pacify,                       xxxxx,    8
lr-pity-the-weak.png,              plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   pity the weak,                xxxxx,    8
lr-plot-decks-back.png,            plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
lr-power-in-mourning.png,          plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   power in mourning,            xxxxx,    8
lr-shared-burdens.png,             plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shared burdens,               xxxxx,    8
lr-summon-serena.png,              plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - serena,              xxxxx,    8
lr-travelers-rest.png,             plot-decks,   d2e,   labyrinth of ruin,     silent-protector,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   traveler's rest,              xxxxx,    8
lr-bait-and-switch.png,            plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bait and switch,              xxxxx,    8
lr-concealment.png,                plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   concealment,                  xxxxx,    8
lr-covetous.png,                   plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   covetous,                     xxxxx,    8
lr-cursed-treasure.png,            plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cursed treasure,              xxxxx,    8
lr-distraction.png,                plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   distraction,                  xxxxx,    8
lr-foiled-again.png,               plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   foiled again,                 xxxxx,    8
lr-guarded-treasure.png,           plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   guarded treasure,             xxxxx,    8
lr-petty-theft.png,                plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   petty theft,                  xxxxx,    8
lr-plot-decks-back.png,            plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
lr-slippery.png,                   plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   slippery,                     xxxxx,    8
lr-summon-raythen.png,             plot-decks,   d2e,   labyrinth of ruin,     skulduggery,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - raythen,             xxxxx,    8
lr-embrace-darkness.png,           plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   embrace darkness,             xxxxx,    8
lr-entangling-weave.png,           plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   entangling weave,             xxxxx,    8
lr-feral-instincts.png,            plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   feral instincts,              xxxxx,    8
lr-hidden-predator.png,            plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hidden predator,              xxxxx,    8
lr-natural-camouflage.png,         plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   natural camouflage,           xxxxx,    8
lr-plot-decks-back.png,            plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
lr-savage-exploitation.png,        plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   savage exploitation,          xxxxx,    8
lr-solitary-prey.png,              plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   solitary prey,                xxxxx,    8
lr-summon-queen-ariad.png,         plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - queen ariad,         xxxxx,    8
lr-unsafe-passage.png,             plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unsafe passage,               xxxxx,    8
lr-web-of-deception.png,           plot-decks,   d2e,   labyrinth of ruin,     tangled-web,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   web of deception,             xxxxx,    8
lw-aurium-plating.png,             plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   aurium plating,               xxxxx,    8
lw-guardians-of-the-hoard.png,     plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   guardians of the hoard,       xxxxx,    8
lw-iron-hard-scales.png,           plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron-hard scales,             xxxxx,    8
lw-jealous-rage.png,               plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jealous rage,                 xxxxx,    8
lw-massive-bulk.png,               plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   massive bulk,                 xxxxx,    8
lw-mine-all-mine.png,              plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mine all mine,                xxxxx,    8
lw-plot-decks-back.png,            plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   plot-decks-back,              xxxxx,    0
lw-punish-the-weak.png,            plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   punish the weak,              xxxxx,    8
lw-summon-valyndra.png,            plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summon - valyndra,            xxxxx,    8
lw-terrifying-presence.png,        plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   terrifying presence,          xxxxx,    8
lw-valyndras-shadow.png,           plot-decks,   d2e,   lair of the wyrm,      dragons-greed,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valyndra's shadow,            xxxxx,    8
