# Image Name                              Asset Name   Game    Expansion                   AST1        AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                   Asset #   Printflag
bg-ashrian.png,                           heroes,      d2e,    base game,                  healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ashrian,                      xxxxx,    8
bg-grisban-the-thirsty-errata-back.png,   heroes,      d2e,    base game,                  warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   grisban the thirsty errata,   xxxxx,    8
bg-syndrael.png,                          heroes,      d2e,    base game,                  warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   syndrael,                     xxxxx,    8
bg-syndrael-back.png,                     heroes,      d2e,    base game,                  warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   syndrael,                     xxxxx,    8
bw-challara.png,                          heroes,      d2e,    bonds of the wild,          mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   challara,                     xxxxx,    8
bw-challara-back.png,                     heroes,      d2e,    bonds of the wild,          mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   challara,                     xxxxx,    8
bw-lyssa.png,                             heroes,      d2e,    bonds of the wild,          mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lyssa,                        xxxxx,    8
bw-lyssa-back.png,                        heroes,      d2e,    bonds of the wild,          mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lyssa,                        xxxxx,    8
bw-ronan-of-the-wild.png,                 heroes,      d2e,    bonds of the wild,          scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ronan of the wild,            xxxxx,    8
bw-ronan-of-the-wild-back.png,            heroes,      d2e,    bonds of the wild,          scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ronan of the wild,            xxxxx,    8
bw-vyrah-the-falconer.png,                heroes,      d2e,    bonds of the wild,          scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vyrah the falconer,           xxxxx,    8
bw-vyrah-the-falconer-back.png,           heroes,      d2e,    bonds of the wild,          scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vyrah the falconer,           xxxxx,    8
ck-andira-runehand.png,                   heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   andira runehand ck,           xxxxx,    8
ck-andira-runehand-back.png,              heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   andira runehand ck,           xxxxx,    8
ck-aurim.png,                             heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   aurim ck,                     xxxxx,    8
ck-aurim-back.png,                        heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   aurim ck,                     xxxxx,    8
ck-brother-gherinn.png,                   heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brother gherinn ck,           xxxxx,    8
ck-brother-gherinn-back.png,              heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brother gherinn ck,           xxxxx,    8
ck-brother-glyr.png,                      heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brother glyr ck,              xxxxx,    8
ck-brother-glyr-back.png,                 heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brother glyr ck,              xxxxx,    8
ck-elder-mok.png,                         heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elder mok ck,                 xxxxx,    8
ck-elder-mok-back.png,                    heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elder mok ck,                 xxxxx,    8
ck-ispher.png,                            heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ispher ck,                    xxxxx,    8
ck-ispher-back.png,                       heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ispher ck,                    xxxxx,    8
ck-jonas-the-kind.png,                    heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jonas the kind ck,            xxxxx,    8
ck-jonas-the-kind-back.png,               heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jonas the kind ck,            xxxxx,    8
ck-okaluk-and-rakash.png,                 heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   okaluk and rakash ck,         xxxxx,    8
ck-okaluk-and-rakash-back.png,            heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   okaluk and rakash ck,         xxxxx,    8
ck-sahla.png,                             heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sahla ck,                     xxxxx,    8
ck-sahla-back.png,                        heroes,      d2e,    conversion kit,             healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sahla ck,                     xxxxx,    8
ck-astarra.png,                           heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   astarra ck,                   xxxxx,    8
ck-astarra-back.png,                      heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   astarra ck,                   xxxxx,    8
ck-challara.png,                          heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   challara ck,                  xxxxx,    8
ck-challara-back.png,                     heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   challara ck,                  xxxxx,    8
ck-jaes-the-exile.png,                    heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jaes the exile ck,            xxxxx,    8
ck-jaes-the-exile-back.png,               heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jaes the exile ck,            xxxxx,    8
ck-landrec-the-wise.png,                  heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   landrec the wise ck,          xxxxx,    8
ck-landrec-the-wise-back.png,             heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   landrec the wise ck,          xxxxx,    8
ck-lyssa.png,                             heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lyssa ck,                     xxxxx,    8
ck-lyssa-back.png,                        heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lyssa ck,                     xxxxx,    8
ck-mad-carthos.png,                       heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mad carthos ck,               xxxxx,    8
ck-mad-carthos-back.png,                  heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mad carthos ck,               xxxxx,    8
ck-master-thorn.png,                      heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   master thorn ck,              xxxxx,    8
ck-master-thorn-back.png,                 heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   master thorn ck,              xxxxx,    8
ck-shiver.png,                            heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shiver ck,                    xxxxx,    8
ck-shiver-back.png,                       heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shiver ck,                    xxxxx,    8
ck-truthseer-kel.png,                     heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   truthseer kel ck,             xxxxx,    8
ck-truthseer-kel-back.png,                heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   truthseer kel ck,             xxxxx,    8
ck-zyla.png,                              heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   zyla ck,                      xxxxx,    8
ck-zyla-back.png,                         heroes,      d2e,    conversion kit,             mages,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   zyla ck,                      xxxxx,    8
ck-arvel-worldwalker.png,                 heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arvel worldwalker ck,         xxxxx,    8
ck-arvel-worldwalker-back.png,            heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arvel worldwalker ck,         xxxxx,    8
ck-bogran-the-shadow.png,                 heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bogran the shadow ck,         xxxxx,    8
ck-bogran-the-shadow-back.png,            heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bogran the shadow ck,         xxxxx,    8
ck-grey-ker.png,                          heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   grey ker ck,                  xxxxx,    8
ck-grey-ker-back.png,                     heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   grey ker ck,                  xxxxx,    8
ck-kirga.png,                             heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   kirga ck,                     xxxxx,    8
ck-kirga-back.png,                        heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   kirga ck,                     xxxxx,    8
ck-laurel-of-bloodwood.png,               heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   laurel of bloodwood ck,       xxxxx,    8
ck-laurel-of-bloodwood-back.png,          heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   laurel of bloodwood ck,       xxxxx,    8
ck-lindel.png,                            heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lindel ck,                    xxxxx,    8
ck-lindel-back.png,                       heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lindel ck,                    xxxxx,    8
ck-red-scorpion.png,                      heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   red scorpion ck,              xxxxx,    8
ck-red-scorpion-back.png,                 heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   red scorpion ck,              xxxxx,    8
ck-ronan-of-the-wild.png,                 heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ronan of the wild ck,         xxxxx,    8
ck-ronan-of-the-wild-back.png,            heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ronan of the wild ck,         xxxxx,    8
ck-silhouette.png,                        heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   silhouette ck,                xxxxx,    8
ck-silhouette-back.png,                   heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   silhouette ck,                xxxxx,    8
ck-tatianna.png,                          heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tatianna ck,                  xxxxx,    8
ck-tatianna-back.png,                     heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tatianna ck,                  xxxxx,    8
ck-tetherys.png,                          heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tetherys ck,                  xxxxx,    8
ck-tetherys-back.png,                     heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tetherys ck,                  xxxxx,    8
ck-tobin-farslayer.png,                   heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tobin farslayer ck,           xxxxx,    8
ck-tobin-farslayer-back.png,              heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tobin farslayer ck,           xxxxx,    8
ck-vyrah-the-falconer.png,                heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vyrah the falconer ck,        xxxxx,    8
ck-vyrah-the-falconer-back.png,           heroes,      d2e,    conversion kit,             scouts,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vyrah the falconer ck,        xxxxx,    8
ck-corbin.png,                            heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   corbin ck,                    xxxxx,    8
ck-corbin-back.png,                       heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   corbin ck,                    xxxxx,    8
ck-eliam.png,                             heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   eliam ck,                     xxxxx,    8
ck-eliam-back.png,                        heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   eliam ck,                     xxxxx,    8
ck-hugo-the-glorious.png,                 heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hugo the glorious ck,         xxxxx,    8
ck-hugo-the-glorious-back.png,            heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hugo the glorious ck,         xxxxx,    8
ck-karnon.png,                            heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   karnon ck,                    xxxxx,    8
ck-karnon-back.png,                       heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   karnon ck,                    xxxxx,    8
ck-krutzbeck.png,                         heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   krutzbeck ck,                 xxxxx,    8
ck-krutzbeck-back.png,                    heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   krutzbeck ck,                 xxxxx,    8
ck-laughin-buldar.png,                    heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   laughin buldar ck,            xxxxx,    8
ck-laughin-buldar-back.png,               heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   laughin buldar ck,            xxxxx,    8
ck-lord-hawthorne.png,                    heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord hawthorne ck,            xxxxx,    8
ck-lord-hawthorne-back.png,               heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord hawthorne ck,            xxxxx,    8
ck-mordrog.png,                           heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mordrog ck,                   xxxxx,    8
ck-mordrog-back.png,                      heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mordrog ck,                   xxxxx,    8
ck-nanok-of-the-blade.png,                heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nanok of the blade ck,        xxxxx,    8
ck-nanok-of-the-blade-back.png,           heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nanok of the blade ck,        xxxxx,    8
ck-nara-the-fang.png,                     heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nara the fang ck,             xxxxx,    8
ck-nara-the-fang-back.png,                heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   nara the fang ck,             xxxxx,    8
ck-one-fist.png,                          heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   one fist ck,                  xxxxx,    8
ck-one-fist-back.png,                     heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   one fist ck,                  xxxxx,    8
ck-sir-valadir.png,                       heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sir valadir ck,               xxxxx,    8
ck-sir-valadir-back.png,                  heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sir valadir ck,               xxxxx,    8
ck-steelhorns.png,                        heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   steelhorns ck,                xxxxx,    8
ck-steelhorns-back.png,                   heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   steelhorns ck,                xxxxx,    8
ck-tahlia.png,                            heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tahlia ck,                    xxxxx,    8
ck-tahlia-back.png,                       heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tahlia ck,                    xxxxx,    8
ck-trenloe-the-strong.png,                heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trenloe the strong ck,        xxxxx,    8
ck-trenloe-the-strong-back.png,           heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trenloe the strong ck,        xxxxx,    8
ck-varikas-the-dead.png,                  heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   varikas the dead ck,          xxxxx,    8
ck-varikas-the-dead-back.png,             heroes,      d2e,    conversion kit,             warriors,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   varikas the dead ck,          xxxxx,    8
cd-brother-gherinn.png,                   heroes,      d2e,    crown of destiny,           healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brother gherinn,              xxxxx,    8
cd-brother-gherinn-back.png,              heroes,      d2e,    crown of destiny,           healers,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brother gherinn,              xxxxx,    8
