# Image Name                             Asset Name             Game    Expansion            AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                        Asset #   Printflag
de-mac-1-of-10.png,                      monster-activations,   d2e,    dark elements,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   de monster activation 1 of 10,     xxxxx,    8
fs-mac-9-of-10.png,                      monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 9 of 10,     xxxxx,    8
fs-mac-10-of-10.png,                     monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs monster activation 10 of 10,    xxxxx,    8
fs-mac-back.png,                         monster-activations,   d2e,    forgotten souls,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fs-monster-activation-back,        xxxxx,    8
ni-mac-1-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 1 of 10,     xxxxx,    8
ni-mac-2-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 2 of 10,     xxxxx,    8
ni-mac-3-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 3 of 10,     xxxxx,    8
ni-mac-4-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 4 of 10,     xxxxx,    8
ni-mac-5-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 5 of 10,     xxxxx,    8
ni-mac-6-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 6 of 10,     xxxxx,    8
ni-mac-7-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 7 of 10,     xxxxx,    8
ni-mac-8-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 8 of 10,     xxxxx,    8
ni-mac-9-of-10.png,                      monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 9 of 10,     xxxxx,    8
ni-mac-10-of-10.png,                     monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni monster activation 10 of 10,    xxxxx,    8
ni-mac-back.png,                         monster-activations,   d2e,    nature's ire,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ni-monster-activation-back,        xxxxx,    8
sotp-mac-arachyura-front.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arachyura activation,              xxxxx,    8
sotp-mac-arachyura-back.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arachyura activation,              xxxxx,    8
sotp-mac-bandit-front.png,               monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bandit activation,                 xxxxx,    8
sotp-mac-bandit-back.png,                monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bandit activation,                 xxxxx,    8
sotp-mac-bane-spider-front.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bane spider activation,            xxxxx,    8
sotp-mac-bane-spider-back.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bane spider activation,            xxxxx,    8
sotp-mac-barghest-front.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   barghest activation,               xxxxx,    8
sotp-mac-barghest-back.png,              monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   barghest activation,               xxxxx,    8
sotp-mac-baron-zachareth-front.png,      monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth activation,        xxxxx,    8
sotp-mac-baron-zachareth-back.png,       monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   baron zachareth activation,        xxxxx,    8
sotp-mac-beastman-front.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   beastman activation,               xxxxx,    8
sotp-mac-beastman-back.png,              monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   beastman activation,               xxxxx,    8
sotp-mac-belthir-front.png,              monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir activation,                xxxxx,    8
sotp-mac-belthir-back.png,               monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   belthir activation,                xxxxx,    8
sotp-mac-blood-ape-front.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood ape activation,              xxxxx,    8
sotp-mac-blood-ape-back.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blood ape activation,              xxxxx,    8
sotp-mac-bone-horror-front.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bone horror activation,            xxxxx,    8
sotp-mac-bone-horror-back.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bone horror activation,            xxxxx,    8
sotp-mac-broodwalker-front.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   broodwalker activation,            xxxxx,    8
sotp-mac-broodwalker-back.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   broodwalker activation,            xxxxx,    8
sotp-mac-burrowing-horror-front.png,     monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   burrowing horror activation,       xxxxx,    8
sotp-mac-burrowing-horror-back.png,      monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   burrowing horror activation,       xxxxx,    8
sotp-mac-carrion-drake-front.png,        monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   carrion drake activation,          xxxxx,    8
sotp-mac-carrion-drake-back.png,         monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   carrion drake activation,          xxxxx,    8
sotp-mac-cave-spider-front.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave spider activation,            xxxxx,    8
sotp-mac-cave-spider-back.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave spider activation,            xxxxx,    8
sotp-mac-changeling-front.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   changeling activation,             xxxxx,    8
sotp-mac-changeling-back.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   changeling activation,             xxxxx,    8
sotp-mac-chaos-beast-front.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chaos beast activation,            xxxxx,    8
sotp-mac-chaos-beast-back.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chaos beast activation,            xxxxx,    8
sotp-mac-crow-hag-front.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crow hag activation,               xxxxx,    8
sotp-mac-crow-hag-back.png,              monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crow hag activation,               xxxxx,    8
sotp-mac-crypt-dragon-front.png,         monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crypt dragon activation,           xxxxx,    8
sotp-mac-crypt-dragon-back.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crypt dragon activation,           xxxxx,    8
sotp-mac-dark-minotaur-front.png,        monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark minotaur activation,          xxxxx,    8
sotp-mac-dark-minotaur-back.png,         monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark minotaur activation,          xxxxx,    8
sotp-mac-dark-priest-front.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark priest activation,            xxxxx,    8
sotp-mac-dark-priest-back.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark priest activation,            xxxxx,    8
sotp-mac-deep-elf-front.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   deep elf activation,               xxxxx,    8
sotp-mac-deep-elf-back.png,              monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   deep elf activation,               xxxxx,    8
sotp-mac-demon-lord-front.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   demon lord activation,             xxxxx,    8
sotp-mac-demon-lord-back.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   demon lord activation,             xxxxx,    8
sotp-mac-elemental-front.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elemental activation,              xxxxx,    8
sotp-mac-elemental-back.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elemental activation,              xxxxx,    8
sotp-mac-ettin-front.png,                monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ettin activation,                  xxxxx,    8
sotp-mac-ettin-back.png,                 monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ettin activation,                  xxxxx,    8
sotp-mac-ferrox-front.png,               monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ferrox activation,                 xxxxx,    8
sotp-mac-ferrox-back.png,                monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ferrox activation,                 xxxxx,    8
sotp-mac-fire-imps-front.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fire imps activation,              xxxxx,    8
sotp-mac-fire-imps-back.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fire imps activation,              xxxxx,    8
sotp-mac-flesh-moulder-front.png,        monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   flesh moulder activation,          xxxxx,    8
sotp-mac-flesh-moulder-back.png,         monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   flesh moulder activation,          xxxxx,    8
sotp-mac-giant-front.png,                monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   giant activation,                  xxxxx,    8
sotp-mac-giant-back.png,                 monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   giant activation,                  xxxxx,    8
sotp-mac-goblin-archer-front.png,        monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin archer activation,          xxxxx,    8
sotp-mac-goblin-archer-back.png,         monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin archer activation,          xxxxx,    8
sotp-mac-goblin-witcher-front.png,       monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin witcher activation,         xxxxx,    8
sotp-mac-goblin-witcher-back.png,        monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin witcher activation,         xxxxx,    8
sotp-mac-golem-front.png,                monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   golem activation,                  xxxxx,    8
sotp-mac-golem-back.png,                 monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   golem activation,                  xxxxx,    8
sotp-mac-harpy-front.png,                monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   harpy activation,                  xxxxx,    8
sotp-mac-harpy-back.png,                 monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   harpy activation,                  xxxxx,    8
sotp-mac-hellhound-front.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hellhound activation,              xxxxx,    8
sotp-mac-hellhound-back.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hellhound activation,              xxxxx,    8
sotp-mac-hybrid-sentinel-front.png,      monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hybrid sentinel activation,        xxxxx,    8
sotp-mac-hybrid-sentinel-back.png,       monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hybrid sentinel activation,        xxxxx,    8
sotp-mac-ice-wyrm-front.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ice wyrm activation,               xxxxx,    8
sotp-mac-ice-wyrm-back.png,              monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ice wyrm activation,               xxxxx,    8
sotp-mac-ironbound-front.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ironbound activation,              xxxxx,    8
sotp-mac-ironbound-back.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ironbound activation,              xxxxx,    8
sotp-mac-kobold-front.png,               monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   kobold activation,                 xxxxx,    8
sotp-mac-kobold-back.png,                monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   kobold activation,                 xxxxx,    8
sotp-mac-lady-eliza-farrow-front.png,    monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lady eliza farrow activation,      xxxxx,    8
sotp-mac-lady-eliza-farrow-back.png,     monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lady eliza farrow activation,      xxxxx,    8
sotp-mac-lava-beetle-front.png,          monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lava beetle activation,            xxxxx,    8
sotp-mac-lava-beetle-back.png,           monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lava beetle activation,            xxxxx,    8
sotp-mac-lord-merick-farrow-front.png,   monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord merick farrow activation,     xxxxx,    8
sotp-mac-lord-merick-farrow-back.png,    monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   lord merick farrow activation,     xxxxx,    8
sotp-mac-manticore-front.png,            monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   manticore activation,              xxxxx,    8
sotp-mac-manticore-back.png,             monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   manticore activation,              xxxxx,    8
sotp-mac-marrow-priest-front.png,        monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   marrow priest activation,          xxxxx,    8
sotp-mac-marrow-priest-back.png,         monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   marrow priest activation,          xxxxx,    8
sotp-mac-medusa-front.png,               monster-activations,   sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   medusa activation,                 xxxxx,    8
