# Image Name                          Asset Name   Game    Expansion               AST1               AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                  Asset #   Printflag
bg-healer-token.png,                  tokens,      d2e,    base game,              archetypes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   healer token,                xxxxx,    1
bg-yellow-influence-token.png,        tokens,      d2e,    base game,              overlord,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   influence token,             xxxxx,    1
bg-influence-token-back.png,          tokens,      d2e,    base game,              overlord,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   influence-token-back,        xxxxx,    1
bg-normal-search-token.png,           tokens,      d2e,    base game,              search,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   search token,                xxxxx,    1
bg-unique-search-token.png,           tokens,      d2e,    base game,              search,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   search token,                xxxxx,    1
bg-door-token.png,                    tokens,      d2e,    base game,              terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   door token,                  xxxxx,    1
bg-locked-door-token.png,             tokens,      d2e,    base game,              terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   locked door token,           xxxxx,    1
bg-building-trait-token.png,          tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   building trait token,        xxxxx,    1
bg-cave-trait-token.png,              tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave trait token,            xxxxx,    1
bg-civilized-trait-token.png,         tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   civilized trait token,       xxxxx,    1
bg-cursed-trait-token.png,            tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cursed trait token,          xxxxx,    1
bg-dark-trait-token.png,              tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dark trait token,            xxxxx,    1
bg-forest-trait-token.png,            tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   forest trait token,          xxxxx,    1
bg-hot-trait-token.png,               tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hot trait token,             xxxxx,    1
bg-ice-trait-token.png,               tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ice trait token,             xxxxx,    1
bg-mountain-trait-token.png,          tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mountain trait token,        xxxxx,    1
bg-water-trait-token.png,             tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   water trait token,           xxxxx,    1
bg-wilderness-trait-token.png,        tokens,      d2e,    base game,              traits,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wilderness trait token,      xxxxx,    1
bg-female-villager-token.png,         tokens,      d2e,    base game,              villagers,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   villager token,              xxxxx,    1
bg-male-villager-token.png,           tokens,      d2e,    base game,              villagers,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   villager token,              xxxxx,    1
bw-brightblaze-token.png,             tokens,      d2e,    bonds of the wild,      familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brightblaze token,           xxxxx,    1
bw-pico-token.png,                    tokens,      d2e,    bonds of the wild,      familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   pico token,                  xxxxx,    1
bw-skye-token.png,                    tokens,      d2e,    bonds of the wild,      familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   skye token,                  xxxxx,    1
ck-brightblaze-token.png,             tokens,      d2e,    conversion kit,         familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   brightblaze ck token,        xxxxx,    1
ck-pico-token.png,                    tokens,      d2e,    conversion kit,         familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   pico ck token,               xxxxx,    1
ck-skye-token.png,                    tokens,      d2e,    conversion kit,         familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   skye ck token,               xxxxx,    1
lr-ally-token.png,                    tokens,      d2e,    labyrinth of ruin,      allies,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ally token,                  xxxxx,    1
lr-raythen-token.png,                 tokens,      d2e,    labyrinth of ruin,      allies,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   raythen ally token,          xxxxx,    1
lr-serena-token.png,                  tokens,      d2e,    labyrinth of ruin,      allies,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   serena ally token,           xxxxx,    1
lr-elixir-token.png,                  tokens,      d2e,    labyrinth of ruin,      classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   elixir token,                xxxxx,    1
lr-hex-token.png,                     tokens,      d2e,    labyrinth of ruin,      classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hex token,                   xxxxx,    1
lr-wolf-token.png,                    tokens,      d2e,    labyrinth of ruin,      class-familiars,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wolf token,                  xxxxx,    1
lr-cursed-token.png,                  tokens,      d2e,    labyrinth of ruin,      conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cursed token,                xxxxx,    1
lr-ariad-token.png,                   tokens,      d2e,    labyrinth of ruin,      lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ariad token,                 xxxxx,    1
lr-queen-ariad-token.png,             tokens,      d2e,    labyrinth of ruin,      lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   queen ariad token,           xxxxx,    1
lr-raythen-token.png,                 tokens,      d2e,    labyrinth of ruin,      lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   raythen token,               xxxxx,    1
lr-serena-token.png,                  tokens,      d2e,    labyrinth of ruin,      lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   serena token,                xxxxx,    1
lr-sun-stone-token.png,               tokens,      d2e,    labyrinth of ruin,      relics,            xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sun stone token,             xxxxx,    1
lr-overgrowth-token.png,              tokens,      d2e,    labyrinth of ruin,      terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   overgrowth token,            xxxxx,    1
lw-valor-token.png,                   tokens,      d2e,    lair of the wyrm,       classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valor token,                 xxxxx,    1
lw-summoned-stone-token.png,          tokens,      d2e,    lair of the wyrm,       class-familiars,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   summoned stone token,        xxxxx,    1
lw-burning-token.png,                 tokens,      d2e,    lair of the wyrm,       conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   burning token,               xxxxx,    1
lw-valyndra-token.png,                tokens,      d2e,    lair of the wyrm,       lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valyndra token,              xxxxx,    1
lw-challenge-token-back.png,          tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   challenge-token-back,        xxxxx,    1
lw-entrance-token.png,                tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   entrance token,              xxxxx,    1
lw-monster-cave-spider-token.png,     tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave spider token,           xxxxx,    1
lw-monster-fire-imps-token.png,       tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fire imps token,             xxxxx,    1
lw-monster-goblin-archer-token.png,   tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin archer token,         xxxxx,    1
lw-monster-zombie-token.png,          tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   zombie token,                xxxxx,    1
lw-test-awareness-token.png,          tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   awareness token,             xxxxx,    1
lw-test-knowledge-token.png,          tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   knowledge token,             xxxxx,    1
lw-test-strength-token.png,           tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   strength token,              xxxxx,    1
lw-test-willpower-token.png,          tokens,      d2e,    lair of the wyrm,       secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   willpower token,             xxxxx,    1
mr-tracking-token.png,                tokens,      d2e,    manor of ravens,        classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tracking token,              xxxxx,    1
mr-doomed-token.png,                  tokens,      d2e,    manor of ravens,        conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   doomed token,                xxxxx,    1
mr-skarn-token.png,                   tokens,      d2e,    manor of ravens,        lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   skarn token,                 xxxxx,    1
motd-drakon-token.png,                tokens,      motd,   maze of the drakon,     familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   drakon token,                xxxxx,    1
motd-roots-of-protection-token.png,   tokens,      motd,   maze of the drakon,     familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   roots of protection token,   xxxxx,    1
motd-spring-of-life-token.png,        tokens,      motd,   maze of the drakon,     familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spring of life token,        xxxxx,    1
mb-terrified-token.png,               tokens,      d2e,    mists of bilehall,      conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   terrified token,             xxxxx,    1
mb-ardus-ixerebus-token.png,          tokens,      d2e,    mists of bilehall,      lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ardus ix'erebus token,       xxxxx,    1
mb-kyndrithul-token.png,              tokens,      d2e,    mists of bilehall,      lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   kyndrithul token,            xxxxx,    1
mb-zarihell-token.png,                tokens,      d2e,    mists of bilehall,      lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   zarihell token,              xxxxx,    1
mb-crumbling-terrain-token.png,       tokens,      d2e,    mists of bilehall,      terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crumbling terrain token,     xxxxx,    1
mb-old-wall-token.png,                tokens,      d2e,    mists of bilehall,      terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   old wall token,              xxxxx,    1
ni-desmond-token.png,                 tokens,      d2e,    nature's ire,           familiars,         xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   desmond token,               xxxxx,    1
sotp-bandaged-servant-token.png,      tokens,      sotp,   sands of the past,      class-familiars,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bandaged servant token,      xxxxx,    1
sotp-blinded-token.png,               tokens,      sotp,   sands of the past,      conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blinded token,               xxxxx,    1
sn-harmony-token.png,                 tokens,      d2e,    shadow of nerekhall,    classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   harmony token,               xxxxx,    1
sn-image-token.png,                   tokens,      d2e,    shadow of nerekhall,    classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   image token,                 xxxxx,    1
sn-melody-token.png,                  tokens,      d2e,    shadow of nerekhall,    classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   melody token,                xxxxx,    1
sn-shadow-soul-token.png,             tokens,      d2e,    shadow of nerekhall,    class-familiars,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadow soul token,           xxxxx,    1
sn-bleeding-token.png,                tokens,      d2e,    shadow of nerekhall,    conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bleeding token,              xxxxx,    1
sn-mirklace-token.png,                tokens,      d2e,    shadow of nerekhall,    lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mirklace token,              xxxxx,    1
sn-rylan-olliven-token.png,           tokens,      d2e,    shadow of nerekhall,    lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rylan olliven token,         xxxxx,    1
sn-tristayne-olliven-token.png,       tokens,      d2e,    shadow of nerekhall,    lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tristayne olliven token,     xxxxx,    1
sn-verminous-token.png,               tokens,      d2e,    shadow of nerekhall,    lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   verminous token,             xxxxx,    1
sn-portcullis-token.png,              tokens,      d2e,    shadow of nerekhall,    terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   portcullis token,            xxxxx,    1
cr-terrified-token.png,               tokens,      d2e,    the chains that rust,   conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   terrified token,             xxxxx,    0
cr-ardus-ixerebus-token.png,          tokens,      d2e,    the chains that rust,   lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ardus ix'erebus token,       xxxxx,    0
cr-kyndrithul-token.png,              tokens,      d2e,    the chains that rust,   lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   kyndrithul token,            xxxxx,    0
cr-zarihell-token.png,                tokens,      d2e,    the chains that rust,   lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   zarihell token,              xxxxx,    0
cr-scourge-token.png,                 tokens,      d2e,    the chains that rust,   servants,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   scourge token,               xxxxx,    1
cr-crumbling-terrain-token.png,       tokens,      d2e,    the chains that rust,   terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   crumbling terrain token,     xxxxx,    0
cr-old-wall-token.png,                tokens,      d2e,    the chains that rust,   terrain,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   old wall token,              xxxxx,    0
tf-insight-token.png,                 tokens,      d2e,    the trollfens,          classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   insight token,               xxxxx,    1
tf-trap-token.png,                    tokens,      d2e,    the trollfens,          classes,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trap token,                  xxxxx,    1
tf-weakened-token.png,                tokens,      d2e,    the trollfens,          conditions,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   weakened token,              xxxxx,    1
tf-bolgoreth-token.png,               tokens,      d2e,    the trollfens,          lieutenants,       xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   bol'goreth token,            xxxxx,    1
tf-challenge-token-back.png,          tokens,      d2e,    the trollfens,          secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   challenge-token-back,        xxxxx,    0
tf-entrance-token.png,                tokens,      d2e,    the trollfens,          secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   entrance token,              xxxxx,    0
tf-monster-cave-spider-token.png,     tokens,      d2e,    the trollfens,          secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   cave spider token,           xxxxx,    0
tf-monster-goblin-archer-token.png,   tokens,      d2e,    the trollfens,          secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   goblin archer token,         xxxxx,    0
tf-monster-harpy-token.png,           tokens,      d2e,    the trollfens,          secret-rooms,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   harpy token,                 xxxxx,    1
