# Image Name                         Asset Name     Game    Expansion              AST1        AST2               AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description               Asset #   Printflag
bg-iron-mace.png,                    class-items,   d2e,    base game,             healers,    disciple,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron mace,                xxxxx,    8
sn-tribal-cloak.png,                 class-items,   d2e,    shadow of nerekhall,   scouts,     shadow-walker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tribal cloak,             xxxxx,    8
sn-tribal-cloak-back.png,            class-items,   d2e,    shadow of nerekhall,   scouts,     shadow-walker,     xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tribal cloak,             xxxxx,    8
sn-jagged-handaxe.png,               class-items,   d2e,    shadow of nerekhall,   warriors,   skirmisher,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jagged handaxe,           xxxxx,    8
sn-jagged-handaxe-back.png,          class-items,   d2e,    shadow of nerekhall,   warriors,   skirmisher,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   jagged handaxe,           xxxxx,    8
sn-rusted-handaxe.png,               class-items,   d2e,    shadow of nerekhall,   warriors,   skirmisher,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rusted handaxe,           xxxxx,    8
sn-rusted-handaxe-back.png,          class-items,   d2e,    shadow of nerekhall,   warriors,   skirmisher,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rusted handaxe,           xxxxx,    8
tf-iron-flail.png,                   class-items,   d2e,    the trollfens,         healers,    prophet,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron flail,               xxxxx,    8
tf-iron-flail-back.png,              class-items,   d2e,    the trollfens,         healers,    prophet,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron flail,               xxxxx,    8
tf-sages-tome.png,                   class-items,   d2e,    the trollfens,         healers,    prophet,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sage's tome,              xxxxx,    8
tf-sages-tome-back.png,              class-items,   d2e,    the trollfens,         healers,    prophet,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   sage's tome,              xxxxx,    8
tf-black-widows-web.png,             class-items,   d2e,    the trollfens,         scouts,     stalker,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   black widow's web,        xxxxx,    8
tf-black-widows-web-back.png,        class-items,   d2e,    the trollfens,         scouts,     stalker,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   black widow's web,        xxxxx,    8
tf-hunting-knife.png,                class-items,   d2e,    the trollfens,         scouts,     stalker,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hunting knife,            xxxxx,    8
tf-hunting-knife-back.png,           class-items,   d2e,    the trollfens,         scouts,     stalker,           xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   hunting knife,            xxxxx,    8
