# Image Name                        Asset Name   Game    Expansion            AST1     AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                Asset #   Printflag
sotp-aeons-voice.png,               traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   aeons' voice,              xxxxx,    8
sotp-phantasm-of-doubt.png,         traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   phantasm of doubt,         xxxxx,    8
sotp-phantasm-of-foolishness.png,   traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   phantasm of foolishness,   xxxxx,    8
sotp-phantasm-of-hate.png,          traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   phantasm of hate,          xxxxx,    8
sotp-skeletal-grip.png,             traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   skeletal grip,             xxxxx,    8
sotp-soul-freeze.png,               traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   soul freeze,               xxxxx,    8
sotp-spear-trap.png,                traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spear trap,                xxxxx,    8
sotp-tar-curio.png,                 traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tar curio,                 xxxxx,    8
sotp-traps-back.png,                traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   traps-back,                xxxxx,    8
sotp-vicious-trap.png,              traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vicious trap,              xxxxx,    8
sotp-wellspring-of-plague.png,      traps,       sotp,   sands of the past,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wellspring of plague,      xxxxx,    8
