# Image Name                     Asset Name   Game   Expansion               AST1           AST2     AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                Asset #   Printflag
bg-dawnblade.png,                relics,      d2e,   base game,              heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   dawnblade,                 xxxxx,    8
lw-aurium-mail.png,              relics,      d2e,   lair of the wyrm,       heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   aurium mail,               xxxxx,    8
lw-valyndras-bane.png,           relics,      d2e,   lair of the wyrm,       heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valyndra's bane,           xxxxx,    8
lw-her-majestys-malice.png,      relics,      d2e,   lair of the wyrm,       lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   her majesty's malice,      xxxxx,    8
lw-valyndras-gift.png,           relics,      d2e,   lair of the wyrm,       lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   valyndra's gift,           xxxxx,    8
mr-book-of-stars.png,            relics,      d2e,   manor of ravens,        heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   book of stars,             xxxxx,    8
mr-shards-of-ithyndrus.png,      relics,      d2e,   manor of ravens,        heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shards of ithyndrus,       xxxxx,    8
mr-the-manors-heart.png,         relics,      d2e,   manor of ravens,        heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the manor's heart,         xxxxx,    8
mr-wanderers-stone.png,          relics,      d2e,   manor of ravens,        heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   wanderer's stone,          xxxxx,    8
mr-shards-of-ithyndrus.png,      relics,      d2e,   manor of ravens,        lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shards of ithyndrus,       xxxxx,    8
mr-stone-of-wayward-means.png,   relics,      d2e,   manor of ravens,        lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   stone of wayward means,    xxxxx,    8
mr-the-manors-heart.png,         relics,      d2e,   manor of ravens,        lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the manor's heart,         xxxxx,    8
mr-tome-of-the-five-lies.png,    relics,      d2e,   manor of ravens,        lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   tome of the five lies,     xxxxx,    8
mb-fear-eater.png,               relics,      d2e,   mists of bilehall,      heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   fear eater,                xxxxx,    8
mb-the-white-crown.png,          relics,      d2e,   mists of bilehall,      heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   the white crown,           xxxxx,    8
mb-undertakers-coat.png,         relics,      d2e,   mists of bilehall,      heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   undertaker's coat,         xxxxx,    8
mb-blade-of-brivala.png,         relics,      d2e,   mists of bilehall,      lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   blade of brivala,          xxxxx,    8
mb-undertakers-coat.png,         relics,      d2e,   mists of bilehall,      lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   undertaker's coat,         xxxxx,    8
mb-waiqars-favor.png,            relics,      d2e,   mists of bilehall,      lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   waiqar's favor,            xxxxx,    8
sn-shadow-plotter.png,           relics,      d2e,   shadow of nerekhall,    heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadow plotter,            xxxxx,    8
sn-spirited-scythe.png,          relics,      d2e,   shadow of nerekhall,    heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   spirited scythe,           xxxxx,    8
sn-ynfernael-rune.png,           relics,      d2e,   shadow of nerekhall,    heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ynfernael rune,            xxxxx,    8
sn-shadow-plotter.png,           relics,      d2e,   shadow of nerekhall,    lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shadow plotter,            xxxxx,    8
sn-soulless-scythe.png,          relics,      d2e,   shadow of nerekhall,    lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   soulless scythe,           xxxxx,    8
sn-ynfernael-rune.png,           relics,      d2e,   shadow of nerekhall,    lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   ynfernael rune,            xxxxx,    8
cr-boneborn-bow.png,             relics,      d2e,   the chains that rust,   heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   boneborn bow,              xxxxx,    8
cr-forewarned-ring.png,          relics,      d2e,   the chains that rust,   heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   forewarned ring,           xxxxx,    8
cr-robes-of-the-last.png,        relics,      d2e,   the chains that rust,   heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   robes of the last,         xxxxx,    8
cr-azatheas-triumph.png,         relics,      d2e,   the chains that rust,   lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   azathea's triumph,         xxxxx,    8
cr-band-of-foresight.png,        relics,      d2e,   the chains that rust,   lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   band of foresight,         xxxxx,    8
cr-robes-of-the-last.png,        relics,      d2e,   the chains that rust,   lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   robes of the last,         xxxxx,    8
tf-immunity-elixir.png,          relics,      d2e,   the trollfens,          heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   immunity elixir,           xxxxx,    8
tf-mending-talisman.png,         relics,      d2e,   the trollfens,          heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   mending talisman,          xxxxx,    8
tf-workmans-ring.png,            relics,      d2e,   the trollfens,          heroes,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   workman's ring,            xxxxx,    8
tf-curative-vial.png,            relics,      d2e,   the trollfens,          lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   curative vial,             xxxxx,    8
tf-omen-of-blight.png,           relics,      d2e,   the trollfens,          lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   omen of blight,            xxxxx,    8
tf-taskmasters-ring.png,         relics,      d2e,   the trollfens,          lieutenants,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   taskmaster's ring,         xxxxx,    8
