# Image Name                      Asset Name             Game   Expansion               AST1        AST2           AST3     AC1      AC2      AC3      AC4      AC5      AC6      Description                Asset #   Printflag
ll-chosen-of-kellos.png,          hybrid-class-skills,   d2e,   lost legends,           healers,    crusader,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   chosen of kellos,          xxxxx,    8
ll-raider-back.png,               hybrid-class-skills,   d2e,   lost legends,           warriors,   raider,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   raider-back,               xxxxx,    8
ll-surprise-assault.png,          hybrid-class-skills,   d2e,   lost legends,           warriors,   raider,        xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   surprise assault,          xxxxx,    8
cr-quick-recovery.png,            hybrid-class-skills,   d2e,   the chains that rust,   healers,    watchman,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   quick recovery,            xxxxx,    8
cr-quick-recovery-errata.png,     hybrid-class-skills,   d2e,   the chains that rust,   healers,    watchman,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   quick recovery errata,     xxxxx,    8
cr-trailblazer.png,               hybrid-class-skills,   d2e,   the chains that rust,   healers,    watchman,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   trailblazer,               xxxxx,    8
cr-unity.png,                     hybrid-class-skills,   d2e,   the chains that rust,   healers,    watchman,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   unity,                     xxxxx,    8
cr-vigilance.png,                 hybrid-class-skills,   d2e,   the chains that rust,   healers,    watchman,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vigilance,                 xxxxx,    8
cr-watchman-back.png,             hybrid-class-skills,   d2e,   the chains that rust,   healers,    watchman,      xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   watchman-back,             xxxxx,    8
cr-arcane-veteran.png,            hybrid-class-skills,   d2e,   the chains that rust,   mages,      battlemage,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   arcane veteran,            xxxxx,    8
cr-battlemage-back.png,           hybrid-class-skills,   d2e,   the chains that rust,   mages,      battlemage,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   battlemage-back,           xxxxx,    8
cr-death-siphon.png,              hybrid-class-skills,   d2e,   the chains that rust,   mages,      battlemage,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   death siphon,              xxxxx,    8
cr-planar-weapon.png,             hybrid-class-skills,   d2e,   the chains that rust,   mages,      battlemage,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   planar weapon,             xxxxx,    8
cr-runic-weave.png,               hybrid-class-skills,   d2e,   the chains that rust,   mages,      battlemage,    xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   runic weave,               xxxxx,    8
cr-greater-calling.png,           hybrid-class-skills,   d2e,   the chains that rust,   scouts,     monk,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   greater calling,           xxxxx,    8
cr-inner-balance.png,             hybrid-class-skills,   d2e,   the chains that rust,   scouts,     monk,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   inner balance,             xxxxx,    8
cr-monk-back.png,                 hybrid-class-skills,   d2e,   the chains that rust,   scouts,     monk,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   monk-back,                 xxxxx,    8
cr-openhanded.png,                hybrid-class-skills,   d2e,   the chains that rust,   scouts,     monk,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   openhanded,                xxxxx,    8
cr-vow-of-freedom.png,            hybrid-class-skills,   d2e,   the chains that rust,   scouts,     monk,          xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   vow of freedom,            xxxxx,    8
cr-iron-blooded.png,              hybrid-class-skills,   d2e,   the chains that rust,   warriors,   steelcaster,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   iron blooded,              xxxxx,    8
cr-rune-grafting.png,             hybrid-class-skills,   d2e,   the chains that rust,   warriors,   steelcaster,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   rune grafting,             xxxxx,    8
cr-runeguard.png,                 hybrid-class-skills,   d2e,   the chains that rust,   warriors,   steelcaster,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   runeguard,                 xxxxx,    8
cr-shield-mage.png,               hybrid-class-skills,   d2e,   the chains that rust,   warriors,   steelcaster,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   shield mage,               xxxxx,    8
cr-steelcaster-back.png,          hybrid-class-skills,   d2e,   the chains that rust,   warriors,   steelcaster,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   xxxxx,   steelcaster-back,          xxxxx,    8
